date,text,publisher,oil_price,oil_open,oil_high,oil_low,oil_volume,oil_change_percent
2026-03-11,"Iran FM, UN Secretary-General hold telephone conversation 

Seyed Abbas Araghchi, Minister of Foreign Affairs of the Islamic Republic of Iran, and António Guterres, Secretary-General of the United Nations, discussed and exchanged views in a telephone conversation regarding the",IRIMFA_EN,86.07,85.11,87.32,80.6,401.37K,4.84%
2026-03-11,"Iranian, Indian Foreign Ministers Discuss Regional Developments in Phone Call

Subrahmanyam Jaishankar, Minister of Foreign Affairs of India, held a phone conversation with Seyed Abbas Araghchi, Minister of Foreign Affairs of the Islamic Republic of Iran, during which they",IRIMFA_EN,86.07,85.11,87.32,80.6,401.37K,4.84%
2026-03-11,"Iranian, Russian Foreign Ministers Discuss Regional Developments, Consequences of US-Israeli Aggression

Seyed Abbas Araghchi, Minister of Foreign Affairs of the Islamic Republic of Iran, held a telephone conversation with Sergey Lavrov, Minister of Foreign Affairs of Russia,",IRIMFA_EN,86.07,85.11,87.32,80.6,401.37K,4.84%
2026-03-12,"Iran condemns US-Zionist aggression on #Iraq's Al-Qaim crossing 

Esmail Baghaei, Spokesperson for the Ministry of Foreign Affairs, strongly condemned the American-Zionist military aggression against Iraq, which targeted the Al-Qaim border crossing, resulting in the martyrdom and",IRIMFA_EN,94.43,87.46,95.68,87.18,448.29K,9.71%
2026-03-13,"#Iran, #India FMs discuss fegional fallout from US-Israeli aggression 

In a telephone conversation, Iranian Foreign Minister Seyed Abbas Araghchi and his Indian counterpart, Subrahmanyam Jaishankar, discussed regional and international developments. 

Araghchi briefed the Indian",IRIMFA_EN,96.84,95.52,97.31,91.09,307.93K,2.55%
2026-03-14,"Iranian, Sri Lankan Foreign Ministers discuss regional developments in phone call 

Seyed Abbas Araghchi, Minister of Foreign Affairs of the Islamic Republic of #Iran, held a telephone conversation on Friday evening with Vijitha Herath, Minister of Foreign Affairs of #SriLanka.",IRIMFA_EN,,,,,,
2026-03-15,"The US’s interference in various parts of the world is one of the factors that’s causing it to become more isolated and detested in the world day by day.

Nov. 27, 2025",khamenei_ir,,,,,,
2026-03-16,EMPTY,EMPTY,93.5,100.93,102.44,92.93,455.45K,-3.45%
2026-03-17,"#Minab: When the world’s most precise missile chose a classroom:

Targeting a school and the mass killing of children are war crimes, and those responsible need to be held to account.",IRIMFA_EN,96.21,94.41,98.42,93.83,308.43K,2.90%
2026-03-17,"Crossing names off the list is good - doing it shoulder to shoulder with our American friends is even better.

Good to see Ambassador 
@GovMikeHuckabee
. Always a pleasure.",netanyahu,96.21,94.41,98.42,93.83,308.43K,2.90%
2026-03-17,"I'm here with Israel's Defense Minister, our Chief of Staff, the head of the Mossad, the Chief of Air Force, our senior commanders. In the past 24 hours, we knocked out two of the terrorist chieftains, the top terrorist chieftains of this tyranny.

Our aircraft are hitting the",netanyahu,96.21,94.41,98.42,93.83,308.43K,2.90%
2026-03-18,"Since the Islamic Republic of #Iran relies on the people, it doesn’t fear the US or any other Arrogant Power whatsoever.

Nov. 14, 2000",khamenei_ir,96.32,96.0,100.55,91.96,157.22K,0.11%
2026-03-19,EMPTY,EMPTY,96.14,99.13,101.48,92.8,118.72K,-0.19%
2026-03-20,"Sara and I were deeply saddened to hear of the passing of Chuck Norris, a great friend of Israel and a close personal friend.

Chuck brought martial arts and the warmth of his character to millions around the world.

May his memory be a blessing.",netanyahu,98.32,95.0,99.67,93.42,33.11K,2.27%
