feature,importance
word_prices,0.0009663525051739647
word_partnership,0.0009567876150126925
word_working,0.0009525610790461542
word_iranian,0.0009518585540572994
word_act,0.0009462364636914122
word_convicted,0.0009452829512851506
word_real,0.0009428677622015036
word_history,0.0009420037697859273
word_seyed,0.0009280921474907742
last3_khamenei_ir_avg_sentiment,0.0009233967836259828
word_criminal,0.0009141361204632823
word_policy,0.0008993133862059154
word_western,0.0008974967659480739
word_remarks,0.0008973651849729941
word_families,0.0008866792565378895
word_new,0.0008849275383767469
word_ceasefire,0.0008826602709866542
word_illegal,0.000876949345109744
last3_market_sentiment_topic_count,0.0008567816480879472
word_media,0.0008511646793096909
last3_peace_topic_count,0.0008361034091648469
last3_netanyahu_avg_sentiment,0.0008353387909161556
word_th,0.000832944123032441
word_talks,0.0008309426435839445
word_war,0.0008223601723423111
last3_khamenei_ir_count,0.0008216762326619158
word_meeting,0.0008160827859172375
word_health,0.0008121464544036387
word_watch,0.000811921235145074
word_ice,0.0008110767023460111
word_conversation,0.0008108271689486662
word_araghchi,0.000804074989069533
word_moscow,0.0007987079585717572
last3_china_topic_count_ratio,0.0007940766625082924
word_kiev,0.000762595412707526
word_telephone,0.0007514886059204699
word_news,0.0007462843592808936
word_like,0.0007427091253152198
word_god,0.0007289105846707764
word_following,0.0007239825750776503
word_forum,0.0007129362835555436
word_al,0.000710806698356268
word_gaza,0.0007062892646712727
last3_realDonaldTrump_avg_sentiment,0.0006859299153018429
word_zakharova,0.0006774978298580365
word_hold,0.0006671923139047743
word_anniversary,0.0006554530858972893
word_thanks,0.000633995002724657
word_terrorists,0.000620317710795366
word_met,0.0006200300367965758
word_cooperation,0.0006072764163743325
word_children,0.0006057345905769608
word_pm,0.0006044405548850265
word_conference,0.0005869980266194912
word_home,0.000541153925659181
word_affairs,0.0005336902507649593
last3_realDonaldTrump_count,0.0004910933036425545
word_second,0.0003800735182299742
word_christmas,0.0003414861330660095
last3_POTUS_avg_sentiment,0.0
